sentence,label
"According to a local resident named Cristita Villarba, they heard a rumbling sound coming from the mountain and then the ground shook as if it was like an earthquake.",0
"The solo shows he has performed include Don Quixote, in which he attempted to live like a medieval knight errant in celebration of the 400th anniversary of the publication of the novel Don Quixote.",1
The other hiding hole is in the room opposite and is a door made to look like a part of the wall.,0
"""His smile is like the silver plate on a coffin.""",1
"Using one of these spells is like setting off a nuclear weapon, so will only use them as a last resort.",1
"He testified years later that on leaving the hotel he felt like a ""stark madman"".",1
"Murphy was the most outspoken of the cuts, telling Penn State student newspaper The Daily Collegian that ""[Brandwene] talked to us like we were children.",0
"Not a single poem from the 1849–1851 period remained and in 1853 Pleshcheev conceded he felt like he ""was now forgetting how to write.""",0
"Art reviewer Enrico Gomez spoke to AHN's ""grounding resonance"" saying, ""It optically strums like an electric bass and has considerable gravitational pull.""",1
"Mr H."" into drunkenness, and his children into cruelty towards animals, until they themselves behaved like pigs.",1
"Comparative mythologies have also noted the ancient Germanic myths of Thor driving a cart led by goats in the sky (which led to the folklore of the Yule Goat) is like Santa driving a sleigh led by reindeers in the sky, so think Santa may stem from both Christian and pre-Christian Germanic mythology.",1
Rajaji tricked him by giving a recommendation letter and making it look like Padmanabhan came to him asking for him to recommending Vasan to give Padmanabhan his old job back.,0
"In his memoirs, Grand Duke Alexander Mikhailovich of Russia wrote that the Tsar behaved like a teenage boy when in Catherine's presence and she also appeared to adore him.",1
[He] likes Romanticism and exaggeration.,0
The Avonlea theme park near Cavendish and the Cavendish Figurines shop have trappings so that tourists may dress like the book's characters for photos.,1
"He used to say that the great collections of stories from the East were like encyclopedias, storehouses of wisdom and knowledge ready to be studied, to be appreciated and cherished.",1
"When Shouta mentions his problem with girls to Sora, she says to him that he looks like someone who will one day rule the world.",0
"""One minute it was quiet,"" Meloy recalled later, ""and the next instant it was like a Fort Benning 'Mad Minute.""'",0
"The difference is like the difference between ""can see"" and ""can be seen.""",0
The incident raises a new claim that is like or related to the claims(s) raised in the pending complaint.,0
He sends Something away and then suddenly realizes that he acts like all the other people who always sent him away.,0
"It was a non-traditional script, that combined illustrations with scene descriptions so that it almost read like a short story.",0
"At most, it means to act like a driver of a low-powered motorcycle.",0
"Carlos Delgado of iF Magazine gave the episode a C+ grade, saying professional wrestling seems like a topic South Park should have mocked long ago.",0
"Even Marder, the only art historian to concentrate an entire book on Constantine and the Scala Regia, admits that ""We may never know what the equestrian statue of Constantine looked like before it was finished in situ, but one guess is that it possessed greater formal power in Bernini's mind"".",0
"On 11 December 1875 the mystery of the City of Boston took a brief turn, that looked like it might give a solution, albeit a melodramatic one.",0
"Crests: beaver, dorsal fin of a dogfish, fireweed, beavers house, human figure holding its knees, k!yEk!a'n (giant beaver), posts or hat rings carved to look like beaver cuttings.",1
"In 1953, the Old Town and the Royal Route were reconstructed to look like they had before the war (aided by numerous pictures by many artists, including Canaletto).",0
"James Chamberlin of IGN did not think that the black and white documentary really worked for him, and when it was over he didn't feel like he had just watched an episode of House.",0
"Its leaves are single cotyledons, shaped to look like a pike, about 7–9 cm wide, and about 20–40 cm long.",1
"After getting together, Betty and Jesse share some wine and have a long conversation that ends in what seems like a serious kiss, only to be interrupted by Jesse's phone which features one of his songs on ringtone.",0
"The music video for ""She's like a Star"" was filmed in Spain.",1
"As all the members were playing the guitar at the beginning, she became the drummer of the group: ""When we all started the band together, no one was playing drums, it was like all of us on guitars, and we needed a drummer.",0
"Keres smiled and said: 'But can you imagine what it was like to play him when he was young?'""",0
"I really love working with Alan Halsall, who plays Tyrone, because he's like a brother in real life.",0
Moksha headwear consisted of 2 or 3 parts and hair dress looked like horns.,1
The song ends with a synth that sounds like a life-support monitor.,1
"As the children have no real support system, and they are constantly combated with troublesome circumstances including racial angst and violence, they are left to feel like orphans as their place in society seems to diminish even further.",1
"Hannibal falls asleep, confused by his parents' threats, and has a nightmare about a giant ""queen bug"" flying through a busy street, touching children (including Hannibal) which makes them disappear; Hannibal is teleported to his bedroom where the queen bug is waiting, who drips black saliva over him that hardens like a cocoon.",1
"It seems like one instrument in the hands of a maestro, in whose power it is to easily transmit the musical beauties, enrapturing the audience with the purity of tone, either dying away to the hardly audible pianissimo, or growing to the greatest forte.",0
"A huge meteor appeared travelling from northwest by west to southeast, which, as it approached, was seen to be in two parts and looked like two bars of flaming material, one following the other.",1
"Love is like a rose, the joy of all the earth,",1
"In reference to the video, Styles said ""That feeling of kind of being overwhelmed, you know you can feel like you're drowning sometimes...and the fact that it's coming from the piano, I guess it's like writing these songs are what helps but also they can hurt you sometimes.""",0
"We need to make no-guilt-attached sexual refusal the norm"" and it ""should be easier to say, 'I don’t really feel like having sex' without the addition of an adamant push, or a neighbor-alarming yell""; she says discussing these issues could ""help men to distinguish between genuine enthusiasm and silent reluctance"".",0
"The crag is mentioned in George Borrow's Wild Wales: Borrow, while walking from Llangollen to Wrexham, meets a local whom he asks about the origin of its name, receiving the response ""I do not know sir; some people say that it is called so because its head is like that of a woman, others because a young girl in love leaped from the top of it and was killed.""",0
"New York's Daily News, which quotes Moffat ""boozier, smokier, more shag-infested series"" than Friends, also thought that ""some characters ... have ties closer to Seinfeld ... Jane, who, despite her beauty, is so abrasive she's like a female Newman.",1
"Eventually she came to like him, and after the sudden change in his brother's death that give him the will to live makes her envious of humans, wishing to be like them and abstaining from eating them if possible.",0
"Mohsin couldn't take the behaviour of Aina anymore so he told Aina that why is she running away from him and why doesn't she accept this marriage then Aina hugs him and tells him she couldn't live like this, her loneliness will kill her.",0
and he looked like nothing.,0
"Another historic attraction from this time is Cork City Gaol which opened in 1824, it is now a visitor centre for people to feel what it was like to live in the city, and imprisoned in the jail, 200 years ago.",0
"They were like glass balls no matter how much Stevenson worked on him.""",1
"In other words, the artwork is like concept art, conveying a specific image instead of a specific character design.",1
"What music vid[eo] would u like to see next?"".",0
"Graham Cornes (South Australia) – ""pulling the South Australian jumper on is like a dream come true"".",1
"""Marji (sic) and I don't even have to talk to each other if we don't feel like it,"" Connors reportedly said.",0
We're going to find you and snuff you out… You know you're going to hide like a rat.,1
"(""Talking to you is like talking to the wall."")",1
